code,datetime,pre_close,open,high,low,close,change,pct_chg,volume,amount
516510.SH,20240926,0.777,0.776,0.811,0.773,0.81,0.033,4.2471,780473.6,61737.951
516510.SH,20240925,0.773,0.78,0.799,0.776,0.777,0.004,0.5175,717772.69,56541.085
516510.SH,20240924,0.743,0.749,0.774,0.735,0.773,0.03,4.0377,863605,64914.189
516510.SH,20240923,0.742,0.743,0.755,0.742,0.743,0.001,0.1348,422696,31622.997
516510.SH,20240920,0.738,0.738,0.747,0.737,0.742,0.004,0.542,610301,45306.959
516510.SH,20240919,0.726,0.728,0.742,0.718,0.738,0.012,1.6529,512163,37465.138
516510.SH,20240918,0.728,0.723,0.731,0.715,0.726,-0.002,-0.2747,410706,29674.442
516510.SH,20240913,0.729,0.729,0.735,0.727,0.728,-0.001,-0.1372,421207,30774.129
516510.SH,20240912,0.73,0.736,0.743,0.728,0.729,-0.001,-0.137,632608,46520.346
516510.SH,20240911,0.726,0.726,0.732,0.722,0.73,0.004,0.551,725113,52807.669
516510.SH,20240910,0.708,0.712,0.734,0.702,0.726,0.018,2.5424,1003782,72050.917
516510.SH,20240909,0.711,0.705,0.713,0.703,0.708,-0.003,-0.4219,407697,28865.86
516510.SH,20240906,0.725,0.73,0.73,0.709,0.711,-0.014,-1.931,596826,42810.463
516510.SH,20240905,0.717,0.717,0.734,0.717,0.725,0.008,1.1158,426625,30972.008
516510.SH,20240904,0.721,0.713,0.725,0.71,0.717,-0.004,-0.5548,363109,26041.144
516510.SH,20240903,0.709,0.71,0.722,0.709,0.721,0.012,1.6925,451185,32350.438
516510.SH,20240902,0.737,0.734,0.737,0.708,0.709,-0.028,-3.7992,547896,39429.524
516510.SH,20240830,0.718,0.717,0.745,0.717,0.737,0.019,2.6462,850042,62802.258
516510.SH,20240829,0.714,0.71,0.722,0.703,0.718,0.004,0.5602,331163,23613.409
516510.SH,20240828,0.712,0.71,0.717,0.704,0.714,0.002,0.2809,375758,26706.258
516510.SH,20240827,0.723,0.719,0.724,0.71,0.712,-0.011,-1.5214,304186.09,21756.312
516510.SH,20240826,0.726,0.728,0.729,0.719,0.723,-0.003,-0.4132,264689,19184.246
516510.SH,20240823,0.719,0.714,0.729,0.714,0.726,0.007,0.9736,349402.04,25304.912
516510.SH,20240822,0.732,0.731,0.741,0.718,0.719,-0.013,-1.776,441280,32131.868
516510.SH,20240821,0.736,0.731,0.742,0.73,0.732,-0.004,-0.5435,345359.69,25378.698
516510.SH,20240820,0.752,0.754,0.754,0.734,0.736,-0.016,-2.1277,432125,31997.537
516510.SH,20240819,0.744,0.745,0.759,0.744,0.752,0.008,1.0753,343015,25806.85
516510.SH,20240816,0.744,0.747,0.751,0.743,0.744,0,0,335172,25030.917
516510.SH,20240815,0.738,0.737,0.753,0.733,0.744,0.006,0.813,463947,34468.561
516510.SH,20240814,0.744,0.747,0.748,0.738,0.738,-0.006,-0.8065,338301,25096.774
516510.SH,20240813,0.74,0.739,0.745,0.734,0.744,0.004,0.5405,353577,26182.762
516510.SH,20240812,0.747,0.744,0.747,0.736,0.74,-0.007,-0.9371,409303,30335.697
516510.SH,20240809,0.752,0.758,0.761,0.747,0.747,-0.005,-0.6649,438246,33045.674
516510.SH,20240808,0.758,0.752,0.76,0.741,0.752,-0.006,-0.7916,462807,34694.692
516510.SH,20240807,0.763,0.765,0.769,0.757,0.758,-0.005,-0.6553,457885,34967.98
516510.SH,20240806,0.753,0.763,0.771,0.754,0.763,0.01,1.328,506544,38600.032
516510.SH,20240805,0.782,0.77,0.787,0.752,0.753,-0.029,-3.7084,705832,54345.352
516510.SH,20240802,0.803,0.79,0.801,0.78,0.782,-0.021,-2.6152,474582,37504.729
516510.SH,20240801,0.809,0.814,0.816,0.799,0.803,-0.006,-0.7417,565934,45630.81
516510.SH,20240731,0.777,0.773,0.809,0.773,0.809,0.032,4.1184,704271,56040.566
516510.SH,20240730,0.777,0.771,0.781,0.767,0.777,0,0,399842.78,30929.564
516510.SH,20240729,0.777,0.778,0.785,0.773,0.777,0,0,375893,29270.404
516510.SH,20240726,0.774,0.773,0.782,0.768,0.777,0.003,0.3876,389825,30220.695
516510.SH,20240725,0.78,0.772,0.783,0.767,0.774,-0.006,-0.7692,520100,40248.888
516510.SH,20240724,0.789,0.783,0.796,0.777,0.78,-0.009,-1.1407,488564.49,38462.015
516510.SH,20240723,0.81,0.813,0.813,0.788,0.789,-0.021,-2.5926,549064.67,43927.749
516510.SH,20240722,0.8,0.805,0.816,0.803,0.81,0.01,1.25,664905,53872.056
516510.SH,20240719,0.791,0.786,0.806,0.783,0.8,0.009,1.1378,771790,61455.081
516510.SH,20240718,0.795,0.783,0.792,0.771,0.791,-0.004,-0.5031,915458.23,71407.635
516510.SH,20240717,0.801,0.799,0.811,0.794,0.795,-0.006,-0.7491,658704,52821.115
516510.SH,20240716,0.784,0.782,0.805,0.778,0.801,0.017,2.1684,785621.71,62207.036
516510.SH,20240715,0.796,0.793,0.793,0.78,0.784,-0.012,-1.5075,568031,44599.809
